[13/52] resolvedRunIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~0/2027 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~0/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~1379/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~2758/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~3406/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~3625/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~3625/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [2/2] artifacts (~3625/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [3/3] artifacts (~3625/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~3625/3625 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~3625/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~5004/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~6153/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~6153/6153 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~6153/8061 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~7532/8061 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~8061/8061 bytes)
[13/52] resolvedRunIvyDeps | Downloading [4/4] artifacts (~8061/8061 bytes)
[13/52] resolvedRunIvyDeps | Downloading [5/5] artifacts (~8061/8061 bytes)
[13/52] resolvedRunIvyDeps | Downloading [6/6] artifacts (~8061/8061 bytes)
[13/52] resolvedRunIvyDeps | Downloading [7/7] artifacts (~8061/8061 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~8061/8061 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~8061/10091 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~9440/10091 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~10091/10091 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~10091/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~11470/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~12849/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~14228/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~15607/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~16986/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~18365/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~19744/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~21123/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~22502/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~23881/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~25260/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~26639/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~27797/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~27797/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~27797/27797 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~27797/30462 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~27797/32294 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~29176/32294 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~30462/32294 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~31841/32294 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~32294/32294 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~32294/32294 bytes)
[13/52] resolvedRunIvyDeps | Downloading [8/8] artifacts (~32294/32294 bytes)
[13/52] resolvedRunIvyDeps | Downloading [9/9] artifacts (~32294/32294 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~32294/32294 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~32294/59947 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~33673/59947 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~35052/59947 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~35052/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~36431/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~37810/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~39189/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~40568/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~41947/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~43326/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~44705/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~46084/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~47463/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~48842/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~50221/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~51600/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~52979/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~54358/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~55737/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~57116/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~58495/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~59874/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~61253/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~62632/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~64011/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~65390/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~66769/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~67210/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~68589/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~69968/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~70041/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~70041/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [10/10] artifacts (~70041/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [11/11] artifacts (~70041/70041 bytes)
[13/52] resolvedRunIvyDeps | Downloading [11/11] artifacts (~70041/76610 bytes)
[13/52] resolvedRunIvyDeps | Downloading [11/11] artifacts (~71420/76610 bytes)
[13/52] resolvedRunIvyDeps | Downloading [11/11] artifacts (~72799/76610 bytes)
[13/52] resolvedRunIvyDeps | Downloading [11/11] artifacts (~74178/76610 bytes)
[13/52] resolvedRunIvyDeps | Downloading [11/11] artifacts (~75557/76610 bytes)
[13/52] resolvedRunIvyDeps | Downloading [11/11] artifacts (~76610/76610 bytes)
[13/52] resolvedRunIvyDeps | Downloading [11/11] artifacts (~76610/76610 bytes)
